SN,Food（100 g）,Food（100 g）,Fiber， total dietary（单位：g）,Water（单位：g）,Protein（单位：g）,Sugars， total（单位：g）,Carbohydrate， by difference（单位：g）,Energy（单位：kcal）,Total lipid (fat)（单位：g）,Sodium， Na（单位：mg）,Potassium， K（单位：mg）,Zinc， Zn（单位：mg）,Iron， Fe（单位：mg）,Calcium， Ca（单位：mg）,Magnesium， Mg（单位：mg）,Phosphorus， P（单位：mg）,Vitamin D (D2 + D3)（单位：&micro;g）,Vitamin C， total ascorbic acid（单位：mg）,Vitamin B-6（单位：mg）,Vitamin A， RAE（单位：&micro;g）,Vitamin B-12（单位：&micro;g）,Folate， DFE（单位：&micro;g）,Niacin（单位：mg）,Riboflavin（单位：mg）,Thiamin（单位：mg）,Vitamin E (alpha-tocopherol)（单位：mg）,Vitamin K (phylloquinone)（单位：&micro;g）,Vitamin A， IU（单位：IU）,Vitamin D（单位：IU）,Cholesterol（单位：mg）,Fatty acids， total saturated（单位：g）,Fatty acids， total monounsaturated（单位：g）,Fatty acids， total trans（单位：g）,Fatty acids， total polyunsaturated（单位：g）,Caffeine（单位：mg）,URL,Category
1011,Cheese， colby,奶酪，科尔比,0,38.2,23.76,0.52,2.57,394,32.11,604,127,3.07,0.76,685,26,457,0.6,0,0.079,264,0.83,18,0.093,0.375,0.015,0.28,2.7,994,24,95,20.218,9.28,n/a,0.953,0,http://ndb.nal.usda.gov/ndb/foods/show/11,Dairy and Egg Products
1012,Cheese， cottage， creamed， large or small curd,奶酪，山寨，奶油，或大或小的凝乳,0,79.79,11.12,2.67,3.38,98,4.3,364,104,0.4,0.07,83,8,159,0.1,0,0.046,37,0.43,12,0.099,0.163,0.027,0.08,0,140,3,17,1.718,0.778,n/a,0.123,0,http://ndb.nal.usda.gov/ndb/foods/show/12,Dairy and Egg Products
1013,Cheese， cottage， creamed， with fruit,奶酪，山寨，奶油，水果,0.2,79.64,10.69,2.38,4.61,97,3.85,344,90,0.33,0.16,53,7,113,0,1.4,0.068,38,0.53,11,0.15,0.142,0.033,0.04,0.4,146,0,13,2.311,1.036,n/a,0.124,0,http://ndb.nal.usda.gov/ndb/foods/show/13,Dairy and Egg Products
1014,Cheese， cottage， nonfat， uncreamed， dry， large or small curd,奶酪，山寨，脱脂，uncreamed，干燥，或大或小的凝乳,0,81.01,10.34,1.85,6.66,72,0.29,372,137,0.47,0.15,86,11,190,0,0,0.016,2,0.46,9,0.144,0.226,0.023,0.01,0,8,0,7,0.169,0.079,n/a,0.003,0,http://ndb.nal.usda.gov/ndb/foods/show/14,Dairy and Egg Products
1015,Cheese， cottage， lowfat， 2% milkfat,奶酪，山寨，低脂，2％乳脂,0,81.24,10.45,4,4.76,81,2.27,308,125,0.51,0.13,111,9,150,0,0,0.057,68,0.47,8,0.103,0.251,0.02,0.08,0,225,0,12,1.235,0.516,0.067,0.083,0,http://ndb.nal.usda.gov/ndb/foods/show/15,Dairy and Egg Products
1016,Cheese， cottage， lowfat， 1% milkfat,奶酪，山寨，低脂，1％乳脂,0,82.48,12.39,2.72,2.72,72,1.02,406,86,0.38,0.14,61,5,134,0,0,0.068,11,0.63,12,0.128,0.165,0.021,0.01,0.1,41,0,4,0.645,0.291,n/a,0.031,0,http://ndb.nal.usda.gov/ndb/foods/show/16,Dairy and Egg Products
1017,Cheese， cream,奶酪，奶油,0,54.44,5.93,3.21,4.07,342,34.24,365,138,0.51,0.38,98,9,106,0.6,0,0.035,366,0.25,11,0.145,0.125,0.02,0.29,2.9,1343,25,110,19.292,8.62,n/a,1.437,0,http://ndb.nal.usda.gov/ndb/foods/show/17,Dairy and Egg Products
1018,Cheese， edam,奶酪，伊丹,0,41.56,24.99,1.43,1.43,357,27.8,812,188,3.75,0.44,731,30,536,0.5,0,0.076,243,1.54,16,0.082,0.389,0.037,0.24,2.3,825,20,89,17.572,8.125,n/a,0.665,0,http://ndb.nal.usda.gov/ndb/foods/show/18,Dairy and Egg Products
1019,Cheese， feta,乳酪，羊乳酪,0,55.22,14.21,4.09,4.09,264,21.28,917,62,2.88,0.65,493,19,337,0.4,0,0.424,125,1.69,32,0.991,0.844,0.154,0.18,1.8,422,16,89,14.946,4.623,n/a,0.591,0,http://ndb.nal.usda.gov/ndb/foods/show/19,Dairy and Egg Products
1020,Cheese， fontina,奶酪，fontina,0,37.92,25.6,1.55,1.55,389,31.14,800,64,3.5,0.23,550,14,346,0.6,0,0.083,261,1.68,6,0.15,0.204,0.021,0.27,2.6,913,23,116,19.196,8.687,n/a,1.654,0,http://ndb.nal.usda.gov/ndb/foods/show/20,Dairy and Egg Products
1021,Cheese， gjetost,奶酪，gjetost,0,13.44,9.65,n/a,42.65,466,29.51,600,1409,1.14,0.52,400,70,444,n/a,0,0.271,334,2.42,5,0.813,1.382,0.315,n/a,n/a,1113,n/a,94,19.16,7.879,n/a,0.938,n/a,http://ndb.nal.usda.gov/ndb/foods/show/21,Dairy and Egg Products
1022,Cheese， gouda,乳酪，豪达,0,41.46,24.94,2.22,2.22,356,27.44,819,121,3.9,0.24,700,29,546,0.5,0,0.08,165,1.54,21,0.063,0.334,0.03,0.24,2.3,563,20,114,17.614,7.747,n/a,0.657,0,http://ndb.nal.usda.gov/ndb/foods/show/22,Dairy and Egg Products
1023,Cheese， gruyere,干酪，格鲁耶尔,0,33.19,29.81,0.36,0.36,413,32.34,714,81,3.9,0.17,1011,36,605,0.6,0,0.081,271,1.6,10,0.106,0.279,0.06,0.28,2.7,948,24,110,18.913,10.043,n/a,1.733,0,http://ndb.nal.usda.gov/ndb/foods/show/23,Dairy and Egg Products
1024,Cheese， limburger,奶酪，林堡,0,48.42,20.05,0.49,0.49,327,27.25,800,128,2.1,0.13,497,21,393,0.5,0,0.086,340,1.04,58,0.158,0.503,0.08,0.23,2.3,1155,20,90,16.746,8.606,n/a,0.495,0,http://ndb.nal.usda.gov/ndb/foods/show/24,Dairy and Egg Products
1025,Cheese， monterey,奶酪，蒙特利,0,41.01,24.48,0.5,0.68,373,30.28,600,81,3,0.72,746,27,444,0.6,0,0.079,198,0.83,18,0.093,0.39,0.015,0.26,2.5,769,22,89,19.066,8.751,n/a,0.899,0,http://ndb.nal.usda.gov/ndb/foods/show/25,Dairy and Egg Products
1026,Cheese， mozzarella， whole milk,奶酪，奶酪，全脂牛奶,0,50.01,22.17,1.03,2.19,300,22.35,627,76,2.92,0.44,505,20,354,0.4,0,0.037,179,2.28,7,0.104,0.283,0.03,0.19,2.3,676,16,79,13.152,6.573,n/a,0.765,0,http://ndb.nal.usda.gov/ndb/foods/show/26,Dairy and Egg Products
1027,Cheese， mozzarella， whole milk， low moisture,奶酪，奶酪，全脂牛奶，低水分,0,48.38,21.6,1.01,2.47,318,24.64,710,75,2.46,0.2,575,21,412,0.5,0,0.062,197,0.73,8,0.094,0.27,0.016,0.21,2.5,745,18,89,15.561,7.027,n/a,0.778,0,http://ndb.nal.usda.gov/ndb/foods/show/27,Dairy and Egg Products
1028,Cheese， mozzarella， part skim milk,奶酪，奶酪，部分脱脂牛奶,0,53.78,24.26,1.13,2.77,254,15.92,619,84,2.76,0.22,782,23,463,0.3,0,0.07,127,0.82,9,0.105,0.303,0.018,0.14,1.6,481,12,64,10.114,4.51,n/a,0.472,0,http://ndb.nal.usda.gov/ndb/foods/show/28,Dairy and Egg Products
1029,Cheese， mozzarella， low moisture， part-skim,奶酪，奶酪，低水分，部分脱脂,0,45.54,24.58,2.24,6.36,301,19.72,682,131,3.61,0.23,716,29,537,0.4,0,0.111,254,1.82,27,0.144,0.348,0.059,0.43,1.3,846,15,65,11.473,5.104,0.709,0.861,0,http://ndb.nal.usda.gov/ndb/foods/show/29,Dairy and Egg Products
1030,Cheese， muenster,奶酪，明斯特,0,41.77,23.41,1.12,1.12,368,30.04,628,134,2.81,0.41,717,27,468,0.6,0,0.056,298,1.47,12,0.103,0.32,0.013,0.26,2.5,1012,22,96,19.113,8.711,n/a,0.661,0,http://ndb.nal.usda.gov/ndb/foods/show/30,Dairy and Egg Products
1031,Cheese， neufchatel,奶酪，讷沙泰勒,0,63.11,9.15,3.19,3.59,253,22.78,334,152,0.82,0.13,117,10,138,n/a,0,0.041,241,0.3,14,0.21,0.155,0.022,0.4,1.7,841,n/a,74,12.79,5.784,n/a,0.97,n/a,http://ndb.nal.usda.gov/ndb/foods/show/31,Dairy and Egg Products
1032,Cheese， parmesan， grated,奶酪，意大利干酪，磨碎,0,22.65,28.42,0.07,13.91,420,27.84,1804,180,4.2,0.49,853,34,627,0.5,0,0.081,262,1.4,6,0.08,0.358,0.026,0.53,1.7,974,21,86,15.371,7.13,0.876,1.386,0,http://ndb.nal.usda.gov/ndb/foods/show/32,Dairy and Egg Products
1033,Cheese， parmesan， hard,奶酪，意大利干酪，硬,0,29.16,35.75,0.8,3.22,392,25.83,1376,92,2.75,0.82,1184,44,694,0.5,0,0.091,207,1.2,7,0.271,0.332,0.039,0.22,1.7,781,19,68,16.41,7.515,n/a,0.569,0,http://ndb.nal.usda.gov/ndb/foods/show/33,Dairy and Egg Products
1034,Cheese， port de salut,奶酪，港口萨吕德,0,45.45,23.78,0.57,0.57,352,28.2,534,136,2.6,0.43,650,24,360,0.5,0,0.053,315,1.5,18,0.06,0.24,0.014,0.24,2.4,1092,21,123,16.691,9.338,n/a,0.729,0,http://ndb.nal.usda.gov/ndb/foods/show/34,Dairy and Egg Products
1035,Cheese， provolone,奶酪，波萝伏洛,0,40.95,25.58,0.56,2.14,351,26.62,876,138,3.23,0.52,756,28,496,0.5,0,0.073,236,1.46,10,0.156,0.321,0.019,0.23,2.2,880,20,69,17.078,7.393,n/a,0.769,0,http://ndb.nal.usda.gov/ndb/foods/show/35,Dairy and Egg Products
1036,Cheese， ricotta， whole milk,奶酪，乳清，全脂牛奶,0,71.7,11.26,0.27,3.04,174,12.98,84,105,1.16,0.38,207,11,158,0.2,0,0.043,120,0.34,12,0.104,0.195,0.013,0.11,1.1,445,10,51,8.295,3.627,n/a,0.385,0,http://ndb.nal.usda.gov/ndb/foods/show/36,Dairy and Egg Products
1037,Cheese， ricotta， part skim milk,奶酪，乳清，部分脱脂牛奶,0,74.41,11.39,0.31,5.14,138,7.91,99,125,1.34,0.44,272,15,183,0.1,0,0.02,107,0.29,13,0.078,0.185,0.021,0.07,0.7,384,6,31,4.927,2.314,n/a,0.26,0,http://ndb.nal.usda.gov/ndb/foods/show/37,Dairy and Egg Products
1038,Cheese， romano,乳酪，罗马诺,0,30.91,31.8,0.73,3.63,387,26.94,1433,86,2.58,0.77,1064,41,760,0.5,0,0.085,96,1.12,7,0.077,0.37,0.037,0.23,2.2,415,20,104,17.115,7.838,n/a,0.593,0,http://ndb.nal.usda.gov/ndb/foods/show/38,Dairy and Egg Products
1039,Cheese， roquefort,干酪，羊乳干酪,0,39.38,21.54,n/a,2,369,30.64,1809,91,2.08,0.56,662,30,392,n/a,0,0.124,294,0.64,49,0.734,0.586,0.04,n/a,n/a,1047,n/a,90,19.263,8.474,n/a,1.32,n/a,http://ndb.nal.usda.gov/ndb/foods/show/39,Dairy and Egg Products
1040,Cheese， swiss,奶酪，瑞士,0,37.12,26.93,1.32,5.38,380,27.8,70,77,4.36,0.2,791,38,567,0.5,0,0.083,220,3.34,6,0.092,0.296,0.063,0.38,2.5,830,20,92,17.779,7.274,n/a,0.972,0,http://ndb.nal.usda.gov/ndb/foods/show/40,Dairy and Egg Products
1041,Cheese， tilsit,奶酪，蒂尔西特,0,42.86,24.41,n/a,1.88,340,25.98,753,65,3.5,0.23,700,13,500,n/a,0,0.065,249,2.1,20,0.205,0.359,0.061,n/a,n/a,1045,n/a,102,16.775,7.136,n/a,0.721,n/a,http://ndb.nal.usda.gov/ndb/foods/show/41,Dairy and Egg Products
1042,Cheese， pasteurized process， American， fortified with vitamin D,奶酪，巴氏杀菌，美国，强化维生素D,0,39.61,18.13,2.26,4.78,366,30.71,1671,132,2.49,0.63,1045,26,641,7.5,0,0.054,317,1.5,8,0.076,0.234,0.015,0.8,3.7,1131,301,100,18.057,8.236,1.144,1.286,0,http://ndb.nal.usda.gov/ndb/foods/show/42,Dairy and Egg Products
1043,Cheese， pasteurized process， pimento,奶酪，巴氏杀菌工艺，香果,0.1,39.08,22.13,0.62,1.73,375,31.2,915,162,2.98,0.42,614,22,744,0.5,2.3,0.071,244,0.7,8,0.078,0.354,0.027,0.29,2.9,1030,22,94,19.663,8.937,n/a,0.988,0,http://ndb.nal.usda.gov/ndb/foods/show/43,Dairy and Egg Products
1044,Cheese， pasteurized process， swiss,奶酪，巴氏杀菌工艺，瑞士,0,42.31,24.73,1.23,2.1,334,25.01,1370,216,3.61,0.61,772,29,762,0.5,0,0.036,198,1.23,6,0.038,0.276,0.014,0.34,2.2,746,18,85,16.045,7.046,n/a,0.622,0,http://ndb.nal.usda.gov/ndb/foods/show/44,Dairy and Egg Products
1045,Cheese food， cold pack， American,奶酪食品，冰敷，美国,0,43.12,19.66,n/a,8.32,331,24.46,966,363,3.01,0.84,497,30,400,n/a,0,0.141,n/a,1.28,5,0.074,0.446,0.03,n/a,n/a,705,n/a,64,15.355,7.165,n/a,0.719,n/a,http://ndb.nal.usda.gov/ndb/foods/show/45,Dairy and Egg Products
1046,Cheese food， pasteurized process， American， vitamin D fortified,奶酪食品，巴氏杀菌，美国，维生素D强化,0,44,16.86,5.59,8.56,330,25.63,1284,255,2.31,0.26,682,27,438,2.5,0,0.102,201,1.33,7,0.155,0.36,0.035,0.63,3.4,761,102,98,15.057,6.846,0.917,1.049,0,http://ndb.nal.usda.gov/ndb/foods/show/46,Dairy and Egg Products
1047,Cheese food， pasteurized process， swiss,奶酪食品，巴氏杀菌工艺，瑞士,0,43.67,21.92,n/a,4.5,323,24.14,1552,284,3.55,0.6,723,28,526,n/a,0,0.035,237,2.3,6,0.104,0.4,0.014,n/a,n/a,856,n/a,82,15.487,6.801,n/a,0.6,n/a,http://ndb.nal.usda.gov/ndb/foods/show/47,Dairy and Egg Products
1048,Cheese spread， pasteurized process， American,奶酪蔓延，巴氏杀菌，美国,0,47.65,16.41,7.32,8.73,290,21.23,1625,242,2.59,0.33,562,29,875,0.4,0,0.117,173,0.4,7,0.131,0.431,0.048,0.19,1.8,653,16,55,13.327,6.219,n/a,0.624,0,http://ndb.nal.usda.gov/ndb/foods/show/48,Dairy and Egg Products
1049,Cream， fluid， half and half,霜，液，一半对一半,0,80.57,2.96,4.3,4.3,130,11.5,41,130,0.51,0.07,105,10,95,0.2,0.9,0.039,97,0.33,3,0.078,0.149,0.035,0.33,1.3,354,8,37,7.158,3.321,n/a,0.427,0,http://ndb.nal.usda.gov/ndb/foods/show/49,Dairy and Egg Products
1050,Cream， fluid， light (coffee cream or table cream),霜，液，光（咖啡奶油或表霜）,0,73.75,2.7,3.66,3.66,195,19.31,40,122,0.27,0.04,96,9,80,0.4,0.8,0.032,181,0.22,2,0.057,0.148,0.032,0.55,1.7,656,14,66,12.02,5.577,n/a,0.717,0,http://ndb.nal.usda.gov/ndb/foods/show/50,Dairy and Egg Products
1052,Cream， fluid， light whipping,霜，液，光鞭打,0,63.5,2.17,2.96,2.96,292,30.91,34,97,0.25,0.03,69,7,61,0.6,0.6,0.028,279,0.2,4,0.042,0.125,0.024,0.88,2.7,1013,23,111,19.337,9.093,n/a,0.884,0,http://ndb.nal.usda.gov/ndb/foods/show/51,Dairy and Egg Products
1053,Cream， fluid， heavy whipping,霜，液，重鞭刑,0,57.71,2.05,2.79,2.79,345,37,38,75,0.23,0.03,65,7,62,0.7,0.6,0.026,411,0.18,4,0.039,0.11,0.022,1.06,3.2,1470,27,137,23.032,10.686,n/a,1.374,0,http://ndb.nal.usda.gov/ndb/foods/show/52,Dairy and Egg Products
1054,Cream， whipped， cream topping， pressurized,奶油，鲜奶，奶油馅料，加压,0,61.33,3.2,8,12.49,257,22.22,8,147,0.37,0.05,101,11,89,0.4,0,0.041,188,0.29,3,0.07,0.065,0.037,0.64,1.9,685,16,76,13.831,6.418,n/a,0.825,0,http://ndb.nal.usda.gov/ndb/foods/show/53,Dairy and Egg Products
1055,Cream， sour， reduced fat， cultured,奶油，酸奶，减少脂肪，培养,0,80.14,2.94,0.16,4.26,135,12,89,129,0.5,0.07,104,10,95,0.2,0.9,0.016,102,0.3,11,0.067,0.149,0.035,0.34,0.6,372,9,39,7.47,3.466,n/a,0.446,0,http://ndb.nal.usda.gov/ndb/foods/show/54,Dairy and Egg Products
1056,Cream， sour， cultured,奶油，酸奶，培养,0,74.46,2.07,2.88,2.88,193,19.73,47,141,0.38,0.17,110,10,115,0.4,0.9,0.057,176,0.28,7,0.109,0.172,0.036,0.44,1.8,576,14,52,11.507,5.068,n/a,0.84,0,http://ndb.nal.usda.gov/ndb/foods/show/55,Dairy and Egg Products
1057,Eggnog,蛋酒,0,82.54,4.55,8.05,8.05,88,4.19,54,165,0.46,0.2,130,19,109,1.2,1.5,0.05,59,0.45,1,0.105,0.19,0.034,0.21,0.3,206,49,59,2.591,1.302,n/a,0.198,0,http://ndb.nal.usda.gov/ndb/foods/show/56,Dairy and Egg Products
1058,Sour dressing， non-butterfat， cultured， filled cream-type,酸奶酱，非乳脂，培养，充满奶油型,0,74.79,3.25,4.68,4.68,178,16.57,48,162,0.37,0.03,113,10,87,0,0.9,0.017,3,0.33,12,0.074,0.163,0.038,1.34,4.1,10,0,5,13.272,1.958,n/a,0.468,0,http://ndb.nal.usda.gov/ndb/foods/show/57,Dairy and Egg Products
1059,Milk， filled， fluid， with blend of hydrogenated vegetable oils,牛奶，填补液，用混合氢化植物油,0,87.67,3.33,n/a,4.74,63,3.46,57,139,0.36,0.05,128,13,97,n/a,0.9,0.04,2,0.34,5,0.087,0.123,0.03,n/a,n/a,7,n/a,2,0.768,1.783,n/a,0.75,n/a,http://ndb.nal.usda.gov/ndb/foods/show/58,Dairy and Egg Products
1060,Milk， filled， fluid， with lauric acid oil,牛奶，填补液，月桂酸油,0,87.73,3.33,4.74,4.74,63,3.4,57,139,0.36,0.05,128,13,97,0,0.9,0.04,2,0.34,5,0.087,0.123,0.03,0.13,0.8,7,0,2,3.101,0.1,n/a,0.01,0,http://ndb.nal.usda.gov/ndb/foods/show/59,Dairy and Egg Products
1061,Cheese， American， nonfat or fat free,奶酪，美国，脱脂或脱脂,0,65.47,21.05,5.26,10.53,126,0,1316,393,4.11,0,789,115,316,0.1,0,0.567,56,1.85,9,5.56,0.545,0.412,0.27,0.2,189,5,26,0,0,0,0,0,http://ndb.nal.usda.gov/ndb/foods/show/60,Dairy and Egg Products
1067,Cream substitute， liquid， with hydrogenated vegetable oil and soy protein,奶油替代品，液体，有氢化植物油和大豆蛋白,0,77.27,1,11.38,11.38,136,9.97,67,191,0.02,0.03,9,0,64,0,0,0,1,0,0,0,0,0,0.81,2.5,15,0,0,1.937,7.551,n/a,0.027,0,http://ndb.nal.usda.gov/ndb/foods/show/61,Dairy and Egg Products
1068,Cream substitute， liquid， with lauric acid oil and sodium caseinate,奶油替代，液体，有月桂酸油，酪蛋白酸钠,0,77.27,1,n/a,11.38,136,9.97,79,191,0.02,0.03,9,0,64,n/a,0,0,4,0,0,0,0,0,n/a,n/a,89,n/a,0,9.304,0.106,n/a,0.003,n/a,http://ndb.nal.usda.gov/ndb/foods/show/62,Dairy and Egg Products
1069,Cream substitute， powdered,奶油替代品，粉状,0,2.21,4.79,54.88,54.88,545,35.48,123,812,0.51,1.15,22,4,422,0,0,0,2,0,0,0,0.165,0,0.59,8.8,33,0,0,32.525,0.968,n/a,0.014,0,http://ndb.nal.usda.gov/ndb/foods/show/63,Dairy and Egg Products
1070,Dessert topping， powdered,甜食漫顶，粉状,0,1.47,4.9,52.54,52.54,577,39.92,122,166,0.08,0.03,17,7,74,0,0,0,0,0,0,0,0,0,1.52,9.9,0,0,0,36.723,0.6,n/a,0.447,0,http://ndb.nal.usda.gov/ndb/foods/show/64,Dairy and Egg Products
1071,Dessert topping， powdered， 1.5 ounce prepared with 1/2 cup milk,甜食漫顶，粉状，1.5盎司准备1/2杯牛奶,0,65.74,3.61,17.13,17.13,194,12.72,66,151,0.27,0.04,90,10,86,0.9,0.7,0.03,34,0.26,4,0.06,0.117,0.027,0.45,2.7,120,38,10,10.684,0.843,n/a,0.201,0,http://ndb.nal.usda.gov/ndb/foods/show/65,Dairy and Egg Products
1072,Dessert topping， pressurized,甜食漫顶，加压,0,60.37,0.98,16.07,16.07,264,22.3,62,19,0.01,0.02,5,1,18,0,0,0,4,0,0,0,0,0,0.85,5.5,78,0,0,18.912,1.927,n/a,0.241,0,http://ndb.nal.usda.gov/ndb/foods/show/66,Dairy and Egg Products
1073,Dessert topping， semi solid， frozen,甜食漫顶，半固体，冻结,0,50.21,1.25,23.05,23.05,318,25.31,25,18,0.03,0.12,6,2,8,0,0,0,7,0,0,0,0,0,0.96,6.3,143,0,0,21.783,1.616,n/a,0.523,0,http://ndb.nal.usda.gov/ndb/foods/show/67,Dairy and Egg Products
1074,Sour cream， imitation， cultured,酸奶油，模仿，培养,0,71.15,2.4,6.63,6.63,208,19.52,102,161,1.18,0.39,3,6,45,0,0,0,0,0,0,0,0,0,0.74,4.8,0,0,0,17.791,0.588,n/a,0.056,0,http://ndb.nal.usda.gov/ndb/foods/show/68,Dairy and Egg Products
1076,Milk substitutes， fluid， with lauric acid oil,母乳代用品，流体，月桂酸油,0,88.18,1.75,n/a,6.16,61,3.41,78,114,1.18,0.39,33,6,74,n/a,0,0,0,0,0,0,0.088,0.012,n/a,n/a,0,n/a,0,3.037,0.176,n/a,0.008,n/a,http://ndb.nal.usda.gov/ndb/foods/show/69,Dairy and Egg Products
1077,Milk， whole， 3.25% milkfat， with added vitamin D,牛奶，全麦，3.25％乳脂，添加了维生素D,0,88.13,3.15,5.05,4.8,61,3.25,43,132,0.37,0.03,113,10,84,1.3,0,0.036,46,0.45,5,0.089,0.169,0.046,0.07,0.3,162,51,10,1.865,0.812,n/a,0.195,0,http://ndb.nal.usda.gov/ndb/foods/show/70,Dairy and Egg Products
1078,Milk， producer， fluid， 3.7% milkfat,牛奶，制片人，液，3.7％乳脂,0,87.69,3.28,n/a,4.65,64,3.66,49,151,0.38,0.05,119,13,93,n/a,1.5,0.042,33,0.36,5,0.084,0.161,0.038,n/a,n/a,138,n/a,14,2.278,1.057,n/a,0.136,n/a,http://ndb.nal.usda.gov/ndb/foods/show/71,Dairy and Egg Products
1079,Milk， reduced fat， fluid， 2% milkfat， with added vitamin A and vitamin D,牛奶，减少脂肪，液体，2％乳脂，添加了维生素A和维生素D,0,89.21,3.3,5.06,4.8,50,1.98,47,140,0.48,0.02,120,11,92,1.2,0.2,0.038,55,0.53,5,0.092,0.185,0.039,0.03,0.2,190,49,8,1.257,0.56,0.085,0.073,0,http://ndb.nal.usda.gov/ndb/foods/show/72,Dairy and Egg Products
1080,Milk， reduced fat， fluid， 2% milkfat， with added nonfat milk solids and vitamin A and vitamin D,乳，减脂，流体，2％乳脂，添加了无脂乳固体和维生素A和维生素D,0,88.86,3.48,n/a,4.97,51,1.92,52,162,0.4,0.05,128,14,100,1,1,0.045,56,0.38,5,0.09,0.173,0.04,n/a,n/a,204,40,8,1.195,0.555,n/a,0.071,n/a,http://ndb.nal.usda.gov/ndb/foods/show/73,Dairy and Egg Products
